"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","INDPROD","MFG","IDX2015","M","2015-08",100.2231,
"USA","INDPROD","MFG","IDX2015","M","2015-09",99.93627,
"USA","INDPROD","MFG","IDX2015","M","2015-10",99.82273,
"USA","INDPROD","MFG","IDX2015","M","2015-11",99.54546,
"USA","INDPROD","MFG","IDX2015","M","2015-12",99.27188,
"USA","INDPROD","MFG","IDX2015","M","2016-01",99.67496,
"USA","INDPROD","MFG","IDX2015","M","2016-02",99.30611,
"USA","INDPROD","MFG","IDX2015","M","2016-03",99.24335,
"USA","INDPROD","MFG","IDX2015","M","2016-04",99.07772,
"USA","INDPROD","MFG","IDX2015","M","2016-05",99.01397,
"USA","INDPROD","MFG","IDX2015","M","2016-06",99.24484,
"USA","INDPROD","MFG","IDX2015","M","2016-07",99.28505,
"USA","INDPROD","MFG","IDX2015","M","2016-08",98.94353,
"USA","INDPROD","MFG","IDX2015","M","2016-09",99.1327,
"USA","INDPROD","MFG","IDX2015","M","2016-10",99.27747,
"USA","INDPROD","MFG","IDX2015","M","2016-11",99.20583,
"USA","INDPROD","MFG","IDX2015","M","2016-12",99.23547,
"USA","INDPROD","MFG","IDX2015","M","2017-01",99.40248,
"USA","INDPROD","MFG","IDX2015","M","2017-02",99.31558,
"USA","INDPROD","MFG","IDX2015","M","2017-03",98.9551,
"USA","INDPROD","MFG","IDX2015","M","2017-04",100.0477,
"USA","INDPROD","MFG","IDX2015","M","2017-05",99.90743,
"USA","INDPROD","MFG","IDX2015","M","2017-06",99.95653,
"USA","INDPROD","MFG","IDX2015","M","2017-07",99.58147,
"USA","INDPROD","MFG","IDX2015","M","2017-08",99.38792,
"USA","INDPROD","MFG","IDX2015","M","2017-09",99.41096,
"USA","INDPROD","MFG","IDX2015","M","2017-10",100.4618,
"USA","INDPROD","MFG","IDX2015","M","2017-11",100.5448,
