"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GDEXPRD","TOT","PC_GDP","A","2000",2.61983472364323,
"USA","GDEXPRD","TOT","PC_GDP","A","2001",2.63714678108311,
"USA","GDEXPRD","TOT","PC_GDP","A","2002",2.54745400997044,
"USA","GDEXPRD","TOT","PC_GDP","A","2003",2.55015297059735,
"USA","GDEXPRD","TOT","PC_GDP","A","2004",2.48685541264951,
"USA","GDEXPRD","TOT","PC_GDP","A","2005",2.50192554035344,
"USA","GDEXPRD","TOT","PC_GDP","A","2006",2.54545175545614,
"USA","GDEXPRD","TOT","PC_GDP","A","2007",2.61515847339147,
"USA","GDEXPRD","TOT","PC_GDP","A","2008",2.74481237536275,
"USA","GDEXPRD","TOT","PC_GDP","A","2009",2.79181606218565,
"USA","GDEXPRD","TOT","PC_GDP","A","2010",2.71444490885423,
"USA","GDEXPRD","TOT","PC_GDP","A","2011",2.73803439302896,
"USA","GDEXPRD","TOT","PC_GDP","A","2012",2.67283623631642,
"USA","GDEXPRD","TOT","PC_GDP","A","2013",2.70214750217239,
"USA","GDEXPRD","TOT","PC_GDP","A","2014",2.71785942054576,
"USA","GDEXPRD","TOT","PC_GDP","A","2015",2.7869952707409,
"USA","GDEXPRD","TOT","PC_GDP","A","2016",2.85350080390023,
"USA","GDEXPRD","TOT","PC_GDP","A","2017",2.90432413835629,
"USA","GDEXPRD","TOT","PC_GDP","A","2018",3.01010205104374,
"USA","GDEXPRD","TOT","PC_GDP","A","2019",3.17048669808151,
"USA","GDEXPRD","TOT","PC_GDP","A","2020",3.46777095330333,
"USA","GDEXPRD","TOT","PC_GDP","A","2021",3.45704567785975,
