TIME,Value
1919-01,4.824014
1919-02,4.610792
1919-03,4.477565
1919-04,4.557461
1919-05,4.584126
1919-06,4.877344
1919-07,5.170463
1919-08,5.250458
1919-09,5.143797
1919-10,5.090566
1919-11,5.010571
1919-12,5.090566
1920-01,5.570241
1920-02,5.570241
1920-03,5.46368
1920-04,5.170463
1920-05,5.303788
1920-06,5.357019
1920-07,5.223793
1920-08,5.250458
1920-09,5.063901
1920-10,4.850679
1920-11,4.4509
1920-12,4.184348
1921-01,3.94446
1921-02,3.864564
1921-03,3.757903
1921-04,3.757903
1921-05,3.864564
1921-06,3.837899
1921-07,3.811234
1921-08,3.94446
1921-09,3.971125
1921-10,4.211012
1921-11,4.157682
1921-12,4.131017
1922-01,4.291008
1922-02,4.477565
1922-03,4.717353
1922-04,4.557461
1922-05,4.797348
1922-06,5.037236
1922-07,5.037236
1922-08,4.930575
1922-09,5.197128
1922-10,5.490345
1922-11,5.730133
1922-12,5.890124
1923-01,5.756798
1923-02,5.836794
1923-03,6.023351
1923-04,6.156578
1923-05,6.236573
1923-06,6.183243
1923-07,6.129912
1923-08,6.023351
1923-09,5.890124
1923-10,5.863459
1923-11,5.863459
1923-12,5.730133
1924-01,5.863459
1924-02,5.970021
1924-03,5.863459
1924-04,5.676902
1924-05,5.437015
1924-06,5.197128
1924-07,5.117132
1924-08,5.303788
1924-09,5.490345
1924-10,5.623572
1924-11,5.730133
1924-12,5.890124
1925-01,6.076681
1925-02,6.076681
1925-03,6.076681
1925-04,6.129912
1925-05,6.103346
1925-06,6.050016
1925-07,6.209908
1925-08,6.103346
1925-09,6.023351
1925-10,6.263238
1925-11,6.396465
1925-12,6.47646
1926-01,6.3698
1926-02,6.3698
1926-03,6.449795
1926-04,6.449795
1926-05,6.396465
1926-06,6.47646
1926-07,6.503125
1926-08,6.583022
1926-09,6.689682
1926-10,6.689682
1926-11,6.663017
1926-12,6.636352
1927-01,6.609687
1927-02,6.663017
1927-03,6.742913
1927-04,6.583022
1927-05,6.636352
1927-06,6.609687
1927-07,6.529691
1927-08,6.529691
1927-09,6.42313
1927-10,6.289903
1927-11,6.289903
1927-12,6.316568
1928-01,6.449795
1928-02,6.503125
1928-03,6.556356
1928-04,6.529691
1928-05,6.609687
1928-06,6.663017
1928-07,6.742913
1928-08,6.876239
1928-09,6.929471
1928-10,7.062796
1928-11,7.196023
1928-12,7.329249
1929-01,7.43591
1929-02,7.409245
1929-03,7.43591
1929-04,7.569137
1929-05,7.702463
1929-06,7.755693
1929-07,7.862354
1929-08,7.782359
1929-09,7.729127
1929-10,7.595802
1929-11,7.222688
1929-12,6.902905
1930-01,6.902905
1930-02,6.876239
1930-03,6.769578
1930-04,6.716347
1930-05,6.609687
1930-06,6.42313
1930-07,6.129912
1930-08,5.996686
1930-09,5.890124
1930-10,5.730133
1930-11,5.596907
1930-12,5.46368
1931-01,5.437015
1931-02,5.46368
1931-03,5.570241
1931-04,5.596907
1931-05,5.51701
1931-06,5.383685
1931-07,5.303788
1931-08,5.117132
1931-09,4.877344
1931-10,4.690787
1931-11,4.637457
1931-12,4.610792
1932-01,4.477565
1932-02,4.370904
1932-03,4.317574
1932-04,4.024456
1932-05,3.891229
1932-06,3.757903
1932-07,3.651342
1932-08,3.757903
1932-09,3.997791
1932-10,4.131017
1932-11,4.131017
1932-12,4.051121
1933-01,3.971125
1933-02,3.997791
1933-03,3.757903
1933-04,4.024456
1933-05,4.690787
1933-06,5.41035
1933-07,5.91669
1933-08,5.676902
1933-09,5.357019
1933-10,5.090566
1933-11,4.797348
1933-12,4.824014
1934-01,4.983905
1934-02,5.223793
1934-03,5.46368
1934-04,5.46368
1934-05,5.570241
1934-06,5.46368
1934-07,5.090566
1934-08,5.037236
1934-09,4.744018
1934-10,4.957241
1934-11,5.010571
1934-12,5.330354
1935-01,5.756798
1935-02,5.863459
1935-03,5.836794
1935-04,5.730133
1935-05,5.730133
1935-06,5.810129
1935-07,5.810129
1935-08,6.023351
1935-09,6.183243
1935-10,6.3698
1935-11,6.503125
1935-12,6.583022
1936-01,6.47646
1936-02,6.316568
1936-03,6.396465
1936-04,6.796244
1936-05,6.929471
1936-06,7.062796
1936-07,7.196023
1936-08,7.302683
1936-09,7.43591
1936-10,7.542471
1936-11,7.755693
1936-12,7.995581
1937-01,7.968916
1937-02,8.075577
1937-03,8.262134
1937-04,8.262134
1937-05,8.288798
1937-06,8.182137
1937-07,8.235468
1937-08,8.182137
1937-09,7.915685
1937-10,7.329249
1937-11,6.609687
1937-12,6.023351
1938-01,5.890124
1938-02,5.836794
1938-03,5.836794
1938-04,5.730133
1938-05,5.596907
1938-06,5.650237
1938-07,5.970021
