"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","MNPN","MXPN","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDMV","WSF2","WSF5"
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2018-10",,,,,,,,"2.65",,,,,,"6.83",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2018-11",,,,,,,,"1.85",,,,,,"11.08",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2018-12",,,"0","0",,"0","0.6","0.83",,,,,,"3.20","0.6",,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-01",,,,"1",,,"5.1","1.92",,,,,,"6.20","5.1",,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-02",,,,"2",,,"5.5","1.05",,,,,,"3.47","7.4",,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-03",,,,,,,,"1.48",,,,,,"3.77",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-04",,,,,,,,"2.18",,,,,,"7.42",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-05",,,,,,,,"0.78",,,,,,"4.47",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-06",,,,,,,,"0.95",,,,,,"4.25",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-07",,,,,,,,"2.02",,,,,,"7.50",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-08",,,,,,,,"1.04",,,,,,"1.75",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-09",,,,,,,,"0.42",,,,,,"1.47",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-10",,,,,,,,"1.71",,,,,,"5.63",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-11",,,,,,,,"2.17",,,,,,"5.37",,,,,,,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","2019-12",,,,"3",,,"2.8","1.13",,,,,,"7.19","8.1",,,,,,,,
