"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-01",,,"0.14",,,,"71","53",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-02",,,"0.77",,,,"69","58",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-03",,,"0.32",,,,"65","56",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-04",,,"0.00",,,,"74","60",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-05",,,"0.00",,,,"66","43",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-06",,,"0.00",,,,"68","42",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-07",,,"0.03",,,,"82","61",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-08",,,"0.00",,,,"61","58",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-09",,,"0.00",,,,"80","59",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-10",,,"0.00",,,,"86","69",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-11",,,"0.78",,,,"73","60",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-12",,,"0.22",,,,"65","46",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-13",,,"0.15",,,,"56","39",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-14",,,"0.00",,,,"60","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-15",,,"0.04",,,,"72","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-16",,,"0.03",,,,"61","41",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-17",,,"0.04",,,,"65","34",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-18",,,"0.00",,,,"50","31",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-19",,,"0.00",,,,"64","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-20",,,"0.00",,,,"67","38",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-21",,,"0.01",,,,"52","27",,,,,,,,,,,,
